customer_id,signup_date,age,city,country,email,total_orders,lifetime_value,churn_risk
C00001,2023-08-01,52,Port Susan,UK,joseph70@example.org,5,1211.66,high
C00002,2023-10-06,,East Elijahborough,US,aanderson@example.net,36,1503.15,medium
C00003,2025-01-08,19,Port Johnhaven,India,hfuller@example.com,24,5829.61,medium
C00004,2025-01-14,58,Webbland,India,lalexander@example.net,16,3812.89,high
C00005,2024-11-12,20,Williamside,India,adamslauren@example.org,49,8693.76,high
C00006,2026-04-12,61,Port Matthewside,US,johnstanley@example.org,12,3537.85,medium
C00007,2025-02-13,26,Parkerstad,India,kimberly68@example.org,41,9156.62,medium
C00008,2025-05-18,20,Christopherland,India,kevingay@example.org,3,807.49,medium
C00009,2024-11-13,70,Hoffmanmouth,UK,justinleblanc@example.net,20,3156.36,low
C00010,2023-06-05,36,Johnathanborough,India,angela22@example.org,49,12876.09,low
C00011,2023-09-06,25,East Julie,India,santanaangela@example.net,42,6215.03,medium
C00012,2025-02-11,42,Taylorbury,India,melinda92@example.com,48,14059.46,medium
C00013,2025-11-29,69,South Michael,UK,brad55@example.net,45,4590.66,low
C00014,2023-11-26,45,Lake Eddieville,UK,fullerbrian@example.net,47,14037.8,low
C00015,2023-06-09,24,New Hannahton,India,valentinejames@example.net,35,4148.84,medium
C00016,2023-10-03,63,Johnmouth,US,nicole84@example.net,20,1499.88,medium
C00017,2024-11-12,64,Davisfort,India,schmittthomas@example.net,23,4508.23,medium
C00018,2025-03-19,68,North Ericstad,India,cramirez@example.com,18,904.7,high
C00019,2023-11-23,69,New Lauratown,UAE,mitchellvaughn@example.net,26,5549.46,low
C00020,2026-04-05,61,Lake Kimberlyville,US,wjones@example.org,10,393.96,low
C00021,2025-09-27,41,East Timothybury,India,douglasowens@example.com,16,2133.93,high
C00022,2026-02-20,61,West Benjamin,US,carpenterdavid@example.net,3,858.55,medium
C00023,2025-11-24,54,Lauraborough,India,cynthia38@example.net,29,5015.67,medium
C00024,2023-12-10,33,Michellemouth,India,sharon67@example.net,21,776.93,low
C00025,2025-10-04,53,Hamiltonview,India,chernandez@example.net,32,3221.75,medium
C00026,2024-08-28,57,Maxchester,India,gonzalezpeter@example.org,46,9999.24,medium
C00027,2025-11-02,22,North Gabrielmouth,US,rmosley@example.com,13,996.02,high
C00028,2024-01-12,69,Port Jessicaview,UAE,angelabullock@example.com,29,8446.0,medium
C00029,2024-04-21,22,New Jessica,UK,yharris@example.org,43,7584.61,medium
C00030,2026-03-12,62,Lake Toni,UAE,allenchristopher@example.net,11,847.05,medium
C00031,2024-03-24,30,South Janice,India,yramirez@example.com,33,3099.32,medium
C00032,2024-10-15,54,East Aliciaport,India,haleypoole@example.net,2,312.4,high
C00033,2023-12-07,23,Lake Melissa,India,gmoore@example.net,9,1021.58,high
C00034,2024-02-14,44,South Michaelstad,US,timothy16@example.org,47,11858.18,low
C00035,2023-08-13,59,Thorntonfurt,India,sanchezthomas@example.org,9,1363.44,high
C00036,2024-06-04,67,North Luis,UK,millersarah@example.net,34,6893.31,low
C00037,2026-02-25,45,South Brianside,UK,carriemartinez@example.org,50,13794.62,low
C00038,2024-02-26,37,South Krista,India,yvette86@example.net,8,589.85,high
C00039,2024-11-26,51,South Gregory,India,kaylawilliams@example.net,15,3876.03,medium
C00040,2024-09-21,53,Thomasfort,India,connor32@example.net,13,829.35,medium
C00041,2025-05-03,50,Lake Mark,UAE,michael08@example.com,40,3021.27,high
C00042,2025-12-05,57,New Patriciahaven,UAE,jamie44@example.org,10,2735.4,medium
C00043,2026-02-06,,Jeremymouth,India,mendezjames@example.net,37,1921.42,high
C00044,2026-01-03,59,Ralphburgh,India,johnsonrebecca@example.net,50,11853.95,medium
C00045,2025-12-31,49,Millershire,UAE,wallacejessica@example.com,40,7092.24,high
C00046,2024-08-15,69,Williamsmouth,UAE,zmartin@example.net,20,2792.9,medium
C00047,2025-06-26,28,Cherylville,US,bradleymercado@example.com,5,711.09,medium
